Project,Client,Title,Duration
SOS2021-02,,#1 Creando nuevo container en gorm,00:47:55
SOS2021-02,,#10 Haciendo Backlog-3,06:00:00
SOS2021-02,,#11 ajmr realizando api completa,23:56:49
SOS2021-02,,#18 Realizando el f06,06:41:00
SOS2021-02,,#19 haciendo d01,26:06:25
SOS2021-02,,#2 Realizando backlog ajmr,00:00:35
SOS2021-02,,#21 ajmr añadiendo svelte,00:46:27
SOS2021-02,,#22 implementado svelte,03:47:28
SOS2021-02,,#23 ajmr añadiendo funcionalidades front,01:30:36
SOS2021-02,,#24 Implementando funcionalidades a front,01:56:32
SOS2021-02,,#29 ajmr realizando gráficos,03:17:51
SOS2021-02,,#33 Integrations,06:57:00
SOS2021-02,,#4 ajmr añadiendo express al proyecto,47:41:42
SOS2021-02,,#5 añadiendo los nuevos modulos,08:08:49
SOS2021-02,,#6 haciendo la tarea,02:27:00
SOS2021-02,,#7 acabando backlog,01:06:07
SOS2021-02,,#8 ajmr mostrar carpeta public y datos,03:27:38
SOS2021-02,,#9 haciendo f03,03:40:27
SOS2021-02,,ajmr añadiendo funcionalidades front,01:51:56
SOS2021-02,,ajmr añadiendo funcionalidades paginación y búsqueda,03:02:25
SOS2021-02,,ajmr Realizando paginación y métodos,08:51:10
SOS2021-02,,Buscando datos F01,00:28:51
SOS2021-02,,haciendo l07,02:19:23
SOS2021-02,,Implementando funcionalidades a front,00:00:00
SOS2021-02,,implementando todos los casos de la tabla azul,18:02:55
SOS2021-02,,integrando apis y terminando d03,09:47:23
SOS2021-02,,Realizando backlog ajmr,00:18:03
SOS2021-02,,,10:50:52
,,#13 Avanzando en la API,03:34:03
,,#14 Realizando f05,13:40:24
,,#20 Realizando eL F07,04:55:00
,,#25 Siguiendo backlog,03:50:00
,,#28 Haciendo D02,04:15:13
,,#30 Realizando las graficas,04:30:11
,,#4 ajmr añadiendo express al proyecto,00:00:17
,,acabando backlog,00:00:13
,,ajmr añadiendo funcionalidades del l07,03:05:06
,,Realizando f05,02:19:44
,,,07:56:18
